Name,Description
stream-level,TODO
level-stream,TODO
level-canal,TODO
volume-groundwater,TODO
soil-moisture,TODO
soil-erosion,TODO
air-temperature,TODO
cloud-cover,TODO
logoon-leven,TODO
estuary-temperature,TODO
