Name,Description
blue-green-algae-stream,TODO
dissolved-oxygen-stream,TODO
total-dissolved-solids-stream,TODO
ph-stream,TODO
water-temperature-lake,TODO
nitrogen-total-inorganic,TODO
biochemical-oxygen-demand-canal,TODO
suspended-sediment-concentration-lagoon,TODO
salinity-estuary,TODO
specific-conductance-reservoir,TODO
arsenic,TODO
